Date,platforms,number_of_fans
2020-08-14,SoundCloud,2921125
2020-08-21,SoundCloud,2933386
2020-08-28,SoundCloud,2944728
2020-09-04,SoundCloud,2956858
2020-09-11,SoundCloud,2966386
2020-09-18,SoundCloud,2976146
2020-09-25,SoundCloud,2981871
2020-10-02,SoundCloud,2990977
2020-10-09,SoundCloud,3000601
2020-10-16,SoundCloud,3010016
2020-10-23,SoundCloud,3019877
2020-10-30,SoundCloud,3029564
2020-11-06,SoundCloud,3038510
2020-11-13,SoundCloud,3047784
2020-11-20,SoundCloud,3057812
2020-11-27,SoundCloud,3069033
2020-12-04,SoundCloud,3109929
2020-12-11,SoundCloud,3129920
2020-12-18,SoundCloud,3142056
2020-12-25,SoundCloud,3191237
2021-01-01,SoundCloud,3224589
2021-01-08,SoundCloud,3241725
2021-01-15,SoundCloud,3258738
2021-01-22,SoundCloud,3277695
2021-01-29,SoundCloud,3293185
2021-02-05,SoundCloud,3307603
2021-02-12,SoundCloud,3322977
2021-02-19,SoundCloud,3337119
2021-02-26,SoundCloud,3349937
2021-03-05,SoundCloud,3385577
2021-03-12,SoundCloud,3399620
2021-03-19,SoundCloud,3414203
2021-03-26,SoundCloud,3428263
2021-04-02,SoundCloud,3441759
2021-04-09,SoundCloud,3454775
2021-04-16,SoundCloud,3466068
2021-04-23,SoundCloud,3479652
2021-04-30,SoundCloud,3491720
2021-05-07,SoundCloud,3506135
2021-05-14,SoundCloud,3526780
2021-05-21,SoundCloud,3547453
2021-05-28,SoundCloud,3567293
2021-06-04,SoundCloud,3590479
2021-06-11,SoundCloud,3656786
2021-06-18,SoundCloud,3685883
2021-06-25,SoundCloud,3700697
2021-07-02,SoundCloud,3714287
2021-07-09,SoundCloud,3728101
2021-07-16,SoundCloud,3740314
2021-07-23,SoundCloud,3751572
2021-07-30,SoundCloud,3768429
2021-08-06,SoundCloud,3781958
2021-08-13,SoundCloud,3804367
2021-08-20,SoundCloud,3824388
2021-08-27,SoundCloud,3845842
2021-09-03,SoundCloud,3864227
2021-09-10,SoundCloud,3879460
2021-09-17,SoundCloud,3893604
2021-09-24,SoundCloud,3906294
2021-10-01,SoundCloud,3919669
2021-10-08,SoundCloud,3925734
2021-10-15,SoundCloud,3936037
2021-10-22,SoundCloud,3944972
2021-10-29,SoundCloud,3955506
2021-11-05,SoundCloud,3966109
2021-11-12,SoundCloud,3975087
2021-11-19,SoundCloud,3983941
2021-11-26,SoundCloud,3992985
2021-12-03,SoundCloud,4002610
2021-12-10,SoundCloud,4018903
2021-12-17,SoundCloud,4030365
2021-12-24,SoundCloud,4046312
2022-12-31,SoundCloud,4064772
2022-01-07,SoundCloud,4079341
2022-01-14,SoundCloud,4092056
2022-01-21,SoundCloud,4102264
2022-01-28,SoundCloud,4111621
2022-02-04,SoundCloud,4119715
2022-02-11,SoundCloud,4128290
2022-02-18,SoundCloud,4136389
2022-02-25,SoundCloud,4142838
2022-03-04,SoundCloud,4153720
2022-03-11,SoundCloud,4165402
2022-03-18,SoundCloud,4172234
2022-03-25,SoundCloud,4179816
2022-04-01,SoundCloud,4186234
2022-04-08,SoundCloud,4193899
2022-04-15,SoundCloud,4200624
2022-04-22,SoundCloud,4208288
2022-04-29,SoundCloud,4214938
2022-05-06,SoundCloud,4220879
2022-05-13,SoundCloud,4232824
2022-05-20,SoundCloud,4240872
2022-05-27,SoundCloud,4247677
2022-06-03,SoundCloud,4253076
2022-06-10,SoundCloud,4259274
2022-06-17,SoundCloud,4282676
2022-06-24,SoundCloud,4289572
2022-07-01,SoundCloud,4295634
2022-07-08,SoundCloud,4300127
2022-07-15,SoundCloud,4304419
2022-07-22,SoundCloud,4308532
2022-07-29,SoundCloud,4312437
2022-08-05,SoundCloud,4316189
2022-08-12,SoundCloud,4320382
2022-08-19,SoundCloud,4324191
2022-08-26,SoundCloud,4327483
2022-09-02,SoundCloud,4331304
2022-09-09,SoundCloud,4334938
2022-09-16,SoundCloud,4338622
2022-09-23,SoundCloud,4342080
2022-09-30,SoundCloud,4345202
2022-10-07,SoundCloud,4348344
2022-10-14,SoundCloud,4351805
2022-10-21,SoundCloud,4355158
2022-10-28,SoundCloud,4358706
2022-11-04,SoundCloud,4362304
2022-11-11,SoundCloud,4365502
2022-11-18,SoundCloud,4368785
2022-11-25,SoundCloud,4372595
2022-12-02,SoundCloud,4376296
2022-12-09,SoundCloud,4379814
2022-12-16,SoundCloud,4382883
2022-12-23,SoundCloud,4386155
2022-12-30,SoundCloud,4420884
2023-01-06,SoundCloud,4425193
2023-01-13,SoundCloud,4428688
2023-01-20,SoundCloud,4431930
2023-01-27,SoundCloud,4434806
2023-02-03,SoundCloud,4437770
2023-02-10,SoundCloud,4440680
2023-02-17,SoundCloud,4443606
2023-02-24,SoundCloud,4446780
2023-03-03,SoundCloud,4449513
2023-03-10,SoundCloud,4452145
2023-03-17,SoundCloud,4454544
2023-03-24,SoundCloud,4457196
2023-03-31,SoundCloud,4459875
2023-04-07,SoundCloud,4462259
2023-04-14,SoundCloud,4464606
2023-04-21,SoundCloud,4466904
2023-04-28,SoundCloud,4469340
2023-05-05,SoundCloud,4471512
2023-05-12,SoundCloud,4473699
2023-05-19,SoundCloud,4476008
2023-05-26,SoundCloud,4477790
2023-06-02,SoundCloud,4480286
2023-06-09,SoundCloud,4483542
2023-06-16,SoundCloud,4486826
2023-06-23,SoundCloud,4488879
2023-06-30,SoundCloud,4490897
2023-07-07,SoundCloud,4493482
2023-07-14,SoundCloud,4495668
2023-07-21,SoundCloud,4498227
2023-07-28,SoundCloud,4500126
2023-08-04,SoundCloud,4501943
2023-08-11,SoundCloud,4503863
2023-08-18,SoundCloud,4505547
2023-08-25,SoundCloud,4507046
2023-09-01,SoundCloud,4508487
2023-09-08,SoundCloud,4509648
2023-09-15,SoundCloud,4510789
2023-09-22,SoundCloud,4511946
2023-09-29,SoundCloud,4513704
